Name,Count,Type,Tier,Cost,Effect / Description,Max Tech
Safehouse,12,Base,,,Can host an Agent. Indestructible.,
Hideaway,12,Base,,,Can host an Agent.,
Fundraising,1,Mission,,❓,"$2 Permanently available, can't be scouted.",
Alley Getaway,2,Mission,1,🚘💪,$3,
Train Hijinx,2,Mission,2,🚘🚘🚘🥸,1⭐$2 $2,
HALO Drop,1,Mission,3,🚘🚘🚘🚘🚘🔑🔑,4⭐,
Arm Wrestling,2,Mission,1,💪🥸 ,$2 $2,
Fencing Duel,2,Mission,2,💪💪💪🔑,1⭐$2 $2,
Rooftop Showdown,1,Mission,3,💪💪💪💪💪🚘🚘,4⭐,
Convent Secrets,2,Mission,1,🥸🔑,$3 $2,
Traveling Troupe,2,Mission,2,🥸🥸🥸🚘,1⭐$2 $2,
Megastar Machinations,1,Mission,3,🥸🥸🥸🥸🥸💪💪,4⭐,
Gate Hacking,2,Mission,1,🔑🚘,$2 $2,
Retinal Scan,2,Mission,2,🔑🔑🔑💪,1⭐$2 $2,
Embassy Safe,1,Mission,3,🔑🔑🔑🔑🔑🥸🥸,4⭐,
Sword-cane,2,Tech,1,$4,💪/🥸 ,
Bazooka,1,Tech,2,$7,💪💪,
Ram,2,Tech,1,$4,🚘/🔑,
Holo-projector,1,Tech,2,$8,🥸🥸,
Barnstormer,16,Agent,1,$3,"🚘/💪, always available",1
Shadow,16,Agent,1,$4,"🔑/🥸, always available",1
Foot in the Door,4,Agent,2,$5,💪🔑,1
Reputable Driver,4,Agent,2,$5,🥸🚘,1
Speedboat Mechanic,4,Agent,3,$7,💪💪🚘,2
Hoodied Hacker,4,Agent,3,$8,🔑🔑🥸,2
Burn Notice,4,Plot,2,$5,"Trash a card from your play, discard, or hand areas",
Emergency Recall,4,Plot,2,$5, (is this good??) Return an agent from your play area to its owner's hand,
Para-drop,4,Plot,2,$5,Draw two cards,
Red Tape,16,Plot,0,0,"Useless starter. Like ""Stumble"" in Clank or ""Estate"" in Dominion",
Got Your back!,4,Plot,3,$7,Play an agent from your hand. Add their skill points when completing your next mission this turn.,
